[2021-09-14 22:10:37,113] INFO basehttp.log_message: "GET /static/core/portal/imgs/brc_logo.png HTTP/1.1" 304 0
[2021-09-14 22:10:37,114] INFO basehttp.log_message: "GET /static/core/portal/imgs/research_it_logo.png HTTP/1.1" 304 0
[2021-09-14 22:10:37,156] WARNING log.log_response: Not Found: /favicon.ico
[2021-09-14 22:10:55,241] INFO basehttp.log_message: "POST /user/login?next=/project/?order_by=id&direction=asc&show_all_projects=True& HTTP/1.1" 200 7363
[2021-09-14 22:10:55,507] WARNING log.log_response: Not Found: /favicon.ico
[2021-09-14 22:11:01,318] INFO basehttp.log_message: "POST /user/login?next=/project/?order_by=id HTTP/1.1" 200 7363
[2021-09-14 22:11:01,526] WARNING log.log_response: Not Found: /favicon.ico
[2021-09-14 22:11:10,020] INFO basehttp.log_message: "POST /user/login?next=/project/?order_by=id HTTP/1.1" 200 7363
[2021-09-14 22:11:10,244] WARNING log.log_response: Not Found: /favicon.ico
[2021-09-14 22:17:17,027] INFO basehttp.log_message: "POST /user/login?next=/project/?order_by=id HTTP/1.1" 200 7363
[2021-09-14 22:17:17,307] WARNING log.log_response: Not Found: /favicon.ico
[2021-09-14 22:17:30,838] INFO basehttp.log_message: "POST /user/login?next=/project/?order_by=id HTTP/1.1" 200 7363
[2021-09-14 22:17:30,907] INFO basehttp.log_message: "GET /static/c3js/c3.min.css HTTP/1.1" 200 2386
[2021-09-14 22:17:30,910] INFO basehttp.log_message: "GET /static/common/css/common.css HTTP/1.1" 200 3824
[2021-09-14 22:17:30,911] INFO basehttp.log_message: "GET /static/d3/d3.v5.min.js HTTP/1.1" 200 237682
[2021-09-14 22:17:30,911] INFO basehttp.log_message: "GET /static/core/user/css/login.css HTTP/1.1" 200 47
[2021-09-14 22:17:30,911] INFO basehttp.log_message: "GET /static/c3js/c3.min.js HTTP/1.1" 200 191799
[2021-09-14 22:17:31,044] INFO basehttp.log_message: "GET /static/core/portal/imgs/brc_logo.png HTTP/1.1" 200 316651
[2021-09-14 22:17:31,054] INFO basehttp.log_message: "GET /static/core/portal/imgs/research_it_logo.png HTTP/1.1" 200 111020
[2021-09-14 22:17:31,178] WARNING log.log_response: Not Found: /favicon.ico
[2021-09-14 22:17:31,178] WARNING basehttp.log_message: "GET /favicon.ico HTTP/1.1" 404 3431
[2021-09-14 22:17:35,391] INFO basehttp.log_message: "POST /user/login?next=/project/?order_by=id HTTP/1.1" 200 7363
[2021-09-14 22:17:35,467] INFO basehttp.log_message: "GET /static/c3js/c3.min.css HTTP/1.1" 200 2386
[2021-09-14 22:17:35,470] INFO basehttp.log_message: "GET /static/core/user/css/login.css HTTP/1.1" 200 47
[2021-09-14 22:17:35,470] INFO basehttp.log_message: "GET /static/common/css/common.css HTTP/1.1" 200 3824
[2021-09-14 22:17:35,471] INFO basehttp.log_message: "GET /static/c3js/c3.min.js HTTP/1.1" 200 191799
[2021-09-14 22:17:35,471] INFO basehttp.log_message: "GET /static/d3/d3.v5.min.js HTTP/1.1" 200 237682
[2021-09-14 22:17:35,635] INFO basehttp.log_message: "GET /static/core/portal/imgs/brc_logo.png HTTP/1.1" 200 316651
[2021-09-14 22:17:35,643] INFO basehttp.log_message: "GET /static/core/portal/imgs/research_it_logo.png HTTP/1.1" 200 111020
[2021-09-14 22:17:35,735] WARNING log.log_response: Not Found: /favicon.ico
[2021-09-14 22:17:35,735] WARNING basehttp.log_message: "GET /favicon.ico HTTP/1.1" 404 3431
[2021-09-14 22:17:45,369] INFO basehttp.log_message: "GET /user/login HTTP/1.1" 200 6736
[2021-09-14 22:17:45,585] WARNING log.log_response: Not Found: /favicon.ico
[2021-09-14 22:17:52,557] INFO basehttp.log_message: "POST /user/login?next= HTTP/1.1" 200 7342
[2021-09-14 22:18:08,432] INFO basehttp.log_message: "POST /user/login?next= HTTP/1.1" 302 0
[2021-09-14 22:18:08,468] INFO basehttp.log_message: "GET / HTTP/1.1" 200 10245
